1.97,1.97,s209,1,1495051203,16G,,,,201576,27,89960,15,,,214816,16,1391,72,16,,,,,403,9,+++++,+++,279,7,279,6,+++++,+++,278,7,,1290ms,740ms,,287ms,32906us,57546us,2112us,33089us,34857us,108us,25655us
1.97,1.97,s209,1,1495045288,16G,,,,192576,26,90651,15,,,213698,15,1112,59,16,,,,,279,6,+++++,+++,280,7,281,6,+++++,+++,276,7,,1491ms,744ms,,275ms,44865us,47104us,2450us,28101us,33226us,79us,30649us
1.97,1.97,s209,1,1495069628,16G,,,,197593,27,90661,15,,,214426,15,1374,71,16,,,,,455,10,+++++,+++,281,7,321,7,+++++,+++,415,10,,1490ms,726ms,,273ms,30179us,78103us,1108us,23601us,38008us,59us,40774us
1.97,1.97,s209,1,1495061402,16G,,,,187121,26,90661,15,,,213549,15,1303,69,16,,,,,438,10,+++++,+++,279,7,284,6,+++++,+++,278,7,,1742ms,753ms,,376ms,26481us,116ms,2378us,24805us,47399us,125us,25626us
1.97,1.97,s209,1,1495059455,16G,,,,189180,26,90251,15,,,213306,15,1397,74,16,,,,,572,13,+++++,+++,280,7,279,6,+++++,+++,278,7,,1825ms,705ms,,273ms,30977us,58177us,2342us,28963us,59355us,68us,32202us
