1.97,1.97,s209,1,1495570109,16G,,,,123911,35,54376,10,,,168630,14,108.5,6,16,,,,,92,2,+++++,+++,90,2,92,2,+++++,+++,89,2,,30069us,841ms,,235ms,303ms,87491us,2135us,108ms,90101us,114us,84792us
1.97,1.97,s209,1,1495564532,16G,,,,128744,36,52370,10,,,165505,12,105.3,6,16,,,,,92,2,+++++,+++,91,2,92,2,+++++,+++,89,2,,30591us,704ms,,247ms,356ms,104ms,2343us,75146us,108ms,118us,89706us
1.97,1.97,s209,1,1495577481,16G,,,,124123,34,50753,10,,,174679,13,115.0,7,16,,,,,93,2,+++++,+++,91,2,92,2,+++++,+++,89,2,,31201us,782ms,,246ms,261ms,82962us,1195us,101ms,135ms,165us,82858us
1.97,1.97,s209,1,1495573477,16G,,,,132787,36,51953,10,,,177936,15,123.4,7,16,,,,,92,2,+++++,+++,91,2,92,2,+++++,+++,89,2,,24437us,804ms,,246ms,259ms,129ms,1590us,85966us,86352us,56us,124ms
1.97,1.97,s209,1,1495585632,16G,,,,122373,34,52299,10,,,172019,13,112.3,7,16,,,,,92,2,+++++,+++,90,2,92,2,+++++,+++,89,2,,28873us,527ms,,245ms,263ms,91904us,2017us,116ms,82281us,76us,81104us
